incubator,location,incubee,current_incubatees,graduated_incubatees
Rohilkhand Incubation Foundation,Bareilly Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.661cf61ee4b0d62d662cf4f3.html,20,2
Atal Incubation Centre Manipur Technical University Innovation Foundation,Imphal West Manipur,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66177591e4b04e0505d87db9.html,11,15
NIT Warangal Innovation and Entrepreneurship Foundation,Warangal Urban Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6613f571e4b018edf02b7d0e.html,9,2
Ganesan Incubation and Entrepreneurship Centre,Kanchipuram Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.660e754ce4b0cba5bc1744ac.html,26,2
Andhra University Incubation Council,Visakhapatnam Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.660e6358e4b0cba5bc173ed9.html,0,0
Janami Foundation,Allahabad Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.660cffa0e4b0a8ab92850b5a.html,10,3
Carmel Incubator Foundation,Bengaluru Urban Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.660bc21de4b0f23ce5eabb95.html,0,0
Kalpataru CoE,Visakhapatnam Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.660bb614e4b0f23ce5eab7ee.html,0,0
Software Technology Parks of India Dehradun,Dehradun Uttarakhand,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65f8072be4b0b579ad3dca3e.html,16,30
TIH Foundation for IoT and IoE,Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65f69984e4b0661508f55a86.html,35,15
TIH-IoT,Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65f698ffe4b0661508f55a5d.html,35,250
GU-TBI,Phagwara Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65f59aa3e4b0661508f535d2.html,6,4
Rohan Borgalli,Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65f5614de4b0661508f51f2b.html,0,0
Buddha Institute,South West Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65f2ade3e4b023ec3d75d314.html,41,24
AIC SELCO Foundation,Guwahati Assam,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65f2a1c9e4b023ec3d75cdbc.html,63,10
Sri Venkateswara University,Tirupati Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65efb6c8e4b0e12444f7edc2.html,12,25
MSCBU Incubation Foundation,Baripada Town Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65ec9115e4b063fe21c7dae9.html,0,0
Chennai Institute Technology Business Incubation Forum,Kanchipuram Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65eaf0f4e4b063fe21c77177.html,26,18
Icco,Kamrup Assam,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65eabd1fe4b063fe21c75d4b.html,15,25
JCB Technology Business Incubator,Faridabad Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65e99189e4b063fe21c71b1b.html,5,5
SYED AMMAL INNOVATION AND INCUBATION COUNCIL,Ramanathapuram Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65e851f2e4b063fe21c6c7d0.html,0,0
SPU MANDI INNOVATION AND ENTREPRENEURSHIP FOUNDATION,Mandi Himachal Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65e80191e4b063fe21c69d43.html,0,0
LVPEI Incubator,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65e6a519e4b063fe21c62a30.html,0,0
Northeast Agriculture Technology Entrepreneurs Hub,Jorhat Assam,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65e033fae4b0a5e1c0127bd2.html,18,178
Nehru Group of Institutions Technology Business INcubator,Palakkad Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65df6ee9e4b0a5e1c0124112.html,72,10
Centre for Entrepreneurship,Nellore Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65df0871e4b0a5e1c011fda3.html,0,0
Research Innovation & Startup Ecosystem,Malappuram Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65dc3fe7e4b06352cbf07908.html,0,0
SASTRA DEEMED TO BE UNIVERSITY,Thanjavur Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65d9c052e4b06352cbefd35b.html,120,22
NIT Raipur Foundation For Innovation and Entrepreneurship,Raipur Chhattisgarh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65d892e7e4b06352cbef6f5e.html,15,2
CIIE IIT (ISM) DHANBAD FOUNDATION,Dhanbad Jharkhand,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65d5db54e4b0624ed99a38f7.html,25,12
AIC MIT ADT Incubator Forum,Pune Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65d5a625e4b0ca4eefcce493.html,25,2
Massive Earth Foundation,Gurugram Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65d1a418e4b00604b0ab4dd4.html,5,15
Foundation for Science Innovation and Development,Bengaluru Urban Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65cc82bee4b0da2d9424c1c3.html,0,0
Shri Mahalaxmi Shikshan Sansthan,Jodhpur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65cc79f7e4b0da2d9424b9f6.html,10,2
Nattraja Incubation Forum,Namakkal Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65cc75f6e4b0da2d9424b78c.html,6,4
SUK Research and Development Foundation,Kolhapur Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65cc5eabe4b0da2d9424a944.html,0,0
APIARY - A Centre of Entrepreneurship in Blockchain Technology,Gurugram Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65c9afcae4b06b4534b639ee.html,0,0
CGC-J Technology Business Incubator Association,Sahibzada Ajit Singh Nagar Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65c867c5e4b06b4534b5fd32.html,0,0
Remarkable Education Private Limited,Jodhpur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65c4bf60e4b0d4fa450111f2.html,18,7
MREC-Business Incubation Centre,Medchal Malkajgiri Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65c4a310e4b0d4fa4500fdac.html,0,0
Mizoram University BioNEST,Aizawl Mizoram,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65c32cb9e4b0d4fa450068e7.html,15,2
Tholons Knowledge Management Pvt Ltd,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65c22734e4b0d4fa450026fd.html,108,30
Bundelkhand University Active Start Up and Incubation Council,Jhansi Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65b7886ce4b0db6d377f4f3d.html,11,1
Navrachna Foundation for Entrepreneurship Development,Gautam Buddha Nagar Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65b0a3a8e4b0dfd7729664a2.html,18,7
REVA Aspiring youth foundation,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.659ce780e4b0936b49aa6fb1.html,0,0
SSN Incubation Foundation,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65964367e4b02fed18d2a493.html,0,0
Student Incubation Cell,South Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.658d1f35e4b02fed18d07f70.html,13,2
Chhatrapati Shahu Ji Maharaj Innovation Foundation,Kanpur Nagar Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6586c341e4b079c35103788d.html,39,3
PSIT Startup And Incubation Foundation,Kanpur Nagar Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65802bb1e4b080816095c1f8.html,17,4
VGU TBI Foundation,Jaipur Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.657fdafde4b0808160959694.html,65,9
WASH Innovation Hub,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65784308e4b0b08e4574de0f.html,100,72
Vel Tech Technology Incubator,Tiruvallur Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.657806f8e4b0b08e4574c38a.html,325,90
MUIT Incubation and Innovation Foundation (MIIF),Lucknow Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6573010ae4b0b08e457392e4.html,29,5
CU TBI,Mohali Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.657086a4e4b0b08e4572f4bf.html,140,40
Federation of Asian Biotech Associations,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.656b457ce4b0435f68e9e8a1.html,5,5
Dr Anamika Dey,Ahmedabad Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.656a932fe4b0435f68e9be78.html,12,8
Rathinam Business Park,Coimbatore Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65686ef8e4b083bab566ca5d.html,35,4
EDUCENTRE SCHOOL OF BUSINESS,Dimapur Nagaland,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6566dbaae4b0fa048bfff5eb.html,25,6
AIC-CVRAMAN COLLEGE OF ENGINEERING FOUNDATION,Bhubaneswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6561c3e5e4b0bd7e186bec84.html,15,27
Paavai Incubation Center,Namakkal Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.656090cee4b0bd7e186ba88b.html,24,55
Startups Valley TBI,Kottayam Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6560701ae4b095c423fd9ddf.html,38,30
ICCW,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65602db2e4b0301c25c2d92f.html,15,12
Anurag Vibhuti,East Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.655f3c23e4b0301c25c2bbde.html,96,27
Xavier Council of Innovation,Bhubaneswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.655f35c4e4b0301c25c2b94d.html,3,1
Charusat Innovative Ventures Foundation,Anand Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.655f181ee4b0301c25c2ad82.html,105,25
Sahrdaya TBII Hub,Thrissur Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.655f04d2e4b0301c25c2a509.html,16,6
UDDYAM PAHSUI FOUNDATION,Solapur Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.655ef86fe4b0301c25c29ffd.html,0,0
Nutan Incubation Centre (NIC),Talegaon Dabhade Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.655ef080e4b0301c25c29c42.html,0,0
V Hub Innovation Centre,Tirupati Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.655ee31de4b0301c25c296f3.html,0,0
NSUT IIF,South West Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.655dc7bee4b0eb76656a8f33.html,26,12
VITAP TBI FOUNDATION,Guntur Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65572f7fe4b0eb7665695fc0.html,0,0
Foundation for Innovation and Technology Transfer IIT Delhi,South Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.65546c27e4b0eb766568ff95.html,83,100
ACIC Mar Ephraem Incubation Forum,Kanyakumari Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.654df7b3e4b0da30fcfaa929.html,44,21
AIC Pinnacle Entrepreneurship Forum,Pune Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.654ca40ee4b0da30fcfa6f12.html,73,26
Antrapreneur-the Business Incubator,Ahmedabad Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64f5ce48e4b02bcc4a00ddd6.html,0,0
S V Innovation Foundation,Kadi Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64cb8bb2e4b0c4486e8a480f.html,12,12
Foundation for Innovation and Technology Transfer,South Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64cb4f4ce4b0c4486e8a3594.html,65,61
DPSRU Innovation and Incubation Foundation,South Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64ca087fe4b0c4486e89ee58.html,9,16
BITS BioCyTiH Foundation,Marmagao Goa,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64c9ee15e4b0c4486e89d8a7.html,23,1
Krishna Educational Foundation,Vadodara Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.64c891ece4b0c4486e898fe0.html,35,5
